Sample ID,Source Plate Name,Source Well,Transfer Volume,Destination Plate Name,Destination Well,Source Plate Type
NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,E09,384PP_AQ_BP2
NT2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,E10,384PP_AQ_BP2
NT3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,E11,384PP_AQ_BP2
NT3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,E12,384PP_AQ_BP2
NAG-T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,F01,384PP_AQ_BP2
NAG-T1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,F02,384PP_AQ_BP2
NAG-NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,F03,384PP_AQ_BP2
NAG-NT1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,F04,384PP_AQ_BP2
T1-rs0 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,F05,384PP_AQ_BP2
T1-rs0 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,F06,384PP_AQ_BP2
T1-rs1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,F07,384PP_AQ_BP2
T1-rs1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,F08,384PP_AQ_BP2
NT1-rs0 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,F09,384PP_AQ_BP2
NT1-rs0 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,F10,384PP_AQ_BP2
NT2-rs1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,F11,384PP_AQ_BP2
NT2-rs1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,F12,384PP_AQ_BP2
gen1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,G01,384PP_AQ_BP2
gen1 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,G02,384PP_AQ_BP2
gen2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,G03,384PP_AQ_BP2
gen2 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,G04,384PP_AQ_BP2
gen3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (0),srcPlate1,B04,50.0,dstPlate1,G05,384PP_AQ_BP2
gen3 - 2.00nM-rep x 0.00nM guide plasmid x 2000.00nM guide sgRNA  (1),srcPlate1,B04,50.0,dstPlate1,G06,384PP_AQ_BP2
